addr,name,symbol_class,runtime_tier,branch_count,pool_count,total_callers,first_caller
0x06036A70,FUN_06036A70,global-FUN,real-call,2,0,2,src\race\FUN_060351CC.s:3700 [branch]
0x06036AA8,FUN_06036AA8,global-FUN,real-call,1,5,6,src\race\FUN_060351CC.s:3830 [branch]
0x06036AB6,FUN_06036AB6,global-FUN,isr-entered,0,0,0,
0x06036B60,FUN_06036B60,global-FUN,real-call,0,1,1,src\race\FUN_0604264C.s:167 [pool]
0x06036BB8,FUN_06036BB8,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:6653 [pool]
0x06036CEC,DAT_06036CEC,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0604D380.s:45 [pool]
0x06036D52,FUN_06036D52,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:4053 [pool]
0x06036E6C,FUN_06036E6C,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:5179 [pool]
0x06036F40,DAT_06036F40,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:4167 [pool]
0x06036FDE,DAT_06036FDE,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:4171 [pool]
0x0603704A,DAT_0603704A,PROVIDE-alias,real-call,0,2,2,src\race\FUN_060351CC.s:4173 [pool]
0x060370A0,DAT_060370A0,PROVIDE-alias,real-call,0,2,2,src\race\FUN_060351CC.s:4175 [pool]
0x060371FC,FUN_060371FC,global-FUN,tail-call,2,0,2,src\race\FUN_060351CC.s:4658 [branch]
0x06037484,DAT_06037484,PROVIDE-alias,real-call,0,2,2,src\race\FUN_060351CC.s:405 [pool]
0x060374F2,DAT_060374F2,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:4329 [pool]
0x06037592,DAT_06037592,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:4333 [pool]
0x06037654,DAT_06037654,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:6651 [pool]
0x06037B98,FUN_06037B98,global-FUN,real-call,0,3,3,src\race\FUN_060351CC.s:5880 [pool]
0x06037D58,DAT_06037D58,PROVIDE-alias,real-call,0,4,4,src\race\FUN_060351CC.s:6818 [pool]
