addr,name,symbol_class,runtime_tier,direct_callers,shifted_callers,shift_detail,verdict_hint
0x06037B98,FUN_06037B98,global-FUN,real-call,3,0,,has-direct-caller
0x06037D58,DAT_06037D58,PROVIDE-alias,real-call,4,0,,has-direct-caller
0x06037D74,DAT_06037D74,PROVIDE-alias,real-call,4,0,,has-direct-caller
0x06037E28,FUN_06037E28,global-FUN,real-call,5,5,-4:5,has-direct-caller
0x060384C4,FUN_060384C4,global-FUN,real-call,9,0,,has-direct-caller
0x060385CE,FUN_060385CE,global-FUN,real-call,7,0,,has-direct-caller
0x060386D8,FUN_060386D8,global-FUN,real-call,4,0,,has-direct-caller
0x06038A84,FUN_06038A84,global-FUN,real-call,0,8,-2:8,callsite-shifted
0x06038BC4,FUN_06038BC4,global-FUN,real-call,3,0,,has-direct-caller
0x06038C64,FUN_06038C64,global-FUN,real-call,7,0,,has-direct-caller
0x06038DD8,FUN_06038DD8,global-FUN,real-call,4,0,,has-direct-caller
0x06039014,FUN_06039014,global-FUN,real-call,1,0,,has-direct-caller
0x06039110,FUN_06039110,global-FUN,real-call,2,0,,has-direct-caller
0x0603938C,FUN_0603938C,global-FUN,real-call,0,2,-2:2,callsite-shifted
0x0603976C,FUN_0603976C,global-FUN,real-call,4,0,,has-direct-caller
0x06039AA4,FUN_06039AA4,global-FUN,real-call,22,0,,has-direct-caller
0x06039B90,FUN_06039B90,global-FUN,real-call,2,0,,has-direct-caller
0x06039BE4,FUN_06039BE4,global-FUN,real-call,1,0,,has-direct-caller
0x06039DCC,FUN_06039DCC,global-FUN,real-call,4,0,,has-direct-caller
0x06039ED8,FUN_06039ED8,global-FUN,real-call,1,0,,has-direct-caller
0x0603A1A4,FUN_0603A1A4,global-FUN,real-call,1,0,,has-direct-caller
0x0603A548,FUN_0603A548,global-FUN,real-call,0,2,-2:2,callsite-shifted
0x0603A614,DAT_0603A614,PROVIDE-alias,real-call,3,0,,has-direct-caller
0x0603A650,FUN_0603A650,global-FUN,real-call,1,0,,has-direct-caller
0x0603A784,DAT_0603A784,PROVIDE-alias,real-call,1,2,-8:2,has-direct-caller
0x0603AAFE,FUN_0603AAFE,global-FUN,tail-call,4,0,,has-direct-caller
0x0603AB14,FUN_0603AB14,global-FUN,real-call,3,0,,has-direct-caller
0x0603AB66,FUN_0603AB66,global-FUN,tail-call,1,0,,has-direct-caller
0x0603B248,DAT_0603B248,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603B484,FUN_0603B484,global-FUN,tail-call,2,0,,has-direct-caller
0x0603B498,FUN_0603B498,global-FUN,tail-call,1,0,,has-direct-caller
0x0603B940,FUN_0603B940,global-FUN,real-call,1,0,,has-direct-caller
0x0603BBCC,FUN_0603BBCC,global-FUN,tail-call,1,0,,has-direct-caller
0x0603BEF4,FUN_0603BEF4,global-FUN,tail-call,1,0,,has-direct-caller
0x0603BF0C,FUN_0603BF0C,global-FUN,tail-call,1,0,,has-direct-caller
