start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x0602CC84,0x0602CD61,222,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602CD62,0x0602CD97,54,code,0,0,0,0,0,0,0,1,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602CD98,0x0602CF0F,376,code,0,0,0,0,0,0,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602CF10,0x0602D039,298,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D03A,0x0602D045,12,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D046,0x0602D051,12,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D052,0x0602D08F,62,code,0,58,58,58,58,0,0,1,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D090,0x0602D101,114,code,0,0,0,0,0,2,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D102,0x0602D139,56,code,0,52,52,52,52,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602D13A,0x0602D26F,310,code,0,76,76,76,76,26,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602D270,0x0602D37D,270,code,0,86,86,86,86,20,0,1,5,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602D37E,0x0602D391,20,code,0,0,0,0,0,0,0,0,1,MULTI_MISMATCH,2,1,B1,RETAIL_LIVE,
0x0602D392,0x0602D4CF,318,code,0,114,114,114,114,48,0,2,2,EXACT,1,0,,RETAIL_LIVE,
0x0602D4D0,0x0602D78B,700,code,0,0,0,0,0,0,0,0,3,MERGED,2,0,,RETAIL_LIVE,
0x0602D78C,0x0602D9EF,612,code,0,0,0,0,0,0,0,0,1,MERGED,4,3,B1,RETAIL_LIVE,
0x0602D9F0,0x0602DAAD,190,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602DAAE,0x0602DBDB,302,code,0,0,0,0,0,0,0,0,3,EXACT,1,0,,RETAIL_LIVE,
0x0602DBDC,0x0602DC7F,164,code,0,142,142,142,142,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602DC80,0x0602DD41,194,code,0,0,0,0,0,0,0,0,1,EXACT,1,0,,RETAIL_LIVE,
0x0602DD42,0x0602DD4F,14,code,0,12,12,12,12,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602DD50,0x0602DE5B,268,code,0,0,0,0,0,32,0,0,3,MERGED,2,0,,RETAIL_LIVE,
0x0602DE5C,0x0602DEDF,132,code,0,0,0,0,0,0,0,0,1,EXACT,1,0,,RETAIL_LIVE,
0x0602DEE0,0x0602DF9B,188,code,0,170,170,170,170,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602DF9C,0x0602E03B,160,code,0,88,88,88,88,62,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602E03C,0x0602E093,88,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602E094,0x0602E0FF,108,code,0,50,50,50,50,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602E100,0x0602E265,358,code,0,0,166,166,166,20,0,0,1,EXACT,1,0,,RETAIL_LIVE,
0x0602E266,0x0602E371,268,code,0,0,140,0,0,36,0,0,0,EXACT,1,0,,RETAIL_LIVE,
0x0602E372,0x0602E3F3,130,code,0,0,38,38,38,40,0,0,0,EXACT,1,0,,RETAIL_LIVE,
0x0602E3F4,0x0602E537,324,code,0,0,0,0,0,0,0,0,4,EXACT,1,0,,RETAIL_LIVE,
0x0602E538,0x0602E595,94,code,0,0,0,0,0,0,0,0,3,MULTI_MISMATCH,2,2,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602E596,0x0602E5A7,18,code,0,0,0,0,0,0,0,0,1,NEW_INSIDE_OLD,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602E5A8,0x0602E5BF,24,code,0,18,18,18,18,0,0,0,0,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602E5C0,0x0602E5D7,24,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602E5D8,0x0602E60F,56,code,0,0,0,0,0,8,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602E610,0x0602E731,290,code,0,246,246,246,246,0,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602E732,0x0602E737,6,code,0,0,0,0,0,0,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602E738,0x0602E76F,56,code,0,0,0,0,0,18,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
