addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x0602E738,src/race/asm/FUN_0602E738.c,56,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E770,src/race/asm/FUN_0602E770.c,124,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E7EC,src/race/asm/FUN_0602E7EC.c,196,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E8B0,src/race/asm/FUN_0602E8B0.c,110,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E91E,src/race/asm/FUN_0602E91E.c,10,code,0,0,1,0,0,0,0,RETAIL_DEAD,T_UNREACH_RETAIL_DEAD,
0x0602E928,src/race/asm/FUN_0602E928.c,96,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E988,src/race/asm/FUN_0602E988.c,226,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EA6A,src/race/asm/FUN_0602EA6A.c,576,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602ECAA,src/race/asm/FUN_0602ECAA.c,176,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602ED5A,src/race/asm/FUN_0602ED5A.c,42,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602ED84,src/race/asm/FUN_0602ED84.c,48,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EDB4,src/race/asm/FUN_0602EDB4.c,38,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EDDA,src/race/asm/FUN_0602EDDA.c,138,code,0,5,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602EE64,src/race/asm/FUN_0602EE64.c,64,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EEA4,src/race/asm/FUN_0602EEA4.c,44,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EED0,src/race/asm/FUN_0602EED0.c,64,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EF10,src/race/asm/FUN_0602EF10.c,38,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EF36,src/race/asm/FUN_0602EF36.c,38,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EF5C,src/race/asm/FUN_0602EF5C.c,136,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602EFE4,src/race/asm/FUN_0602EFE4.c,82,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F036,src/race/asm/FUN_0602F036.c,30,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F054,src/race/asm/FUN_0602F054.c,30,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F072,src/race/asm/FUN_0602F072.c,162,code,0,9,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F114,src/race/asm/FUN_0602F114.c,84,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F168,src/race/asm/FUN_0602F168.c,16,code,0,5,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F178,src/race/asm/FUN_0602F178.c,92,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F1D4,src/race/asm/FUN_0602F1D4.c,56,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F20C,src/race/asm/FUN_0602F20C.c,172,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F2B8,src/race/asm/FUN_0602F2B8.c,90,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F312,src/race/asm/FUN_0602F312.c,24,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F32A,src/race/asm/FUN_0602F32A.c,32,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F34A,src/race/asm/FUN_0602F34A.c,166,code,0,11,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F3F0,src/race/asm/FUN_0602F3F0.c,60,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F42C,src/race/asm/FUN_0602F42C.c,122,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F4A6,src/race/asm/FUN_0602F4A6.c,52,code,0,1,0,1,1,1,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F4DA,src/race/asm/FUN_0602F4DA.c,66,code,0,2,0,1,1,0,1,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F51C,src/race/asm/FUN_0602F51C.c,72,code,0,5,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F564,src/race/asm/FUN_0602F564.c,78,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F5B2,src/race/asm/FUN_0602F5B2.c,170,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F65C,src/race/asm/FUN_0602F65C.c,356,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F7C0,src/race/asm/FUN_0602F7C0.c,84,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F814,src/race/asm/FUN_0602F814.c,10,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602F81E,src/race/asm/FUN_0602F81E.c,202,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602F8E8,src/race/asm/FUN_0602F8E8.c,416,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FA88,src/race/asm/FUN_0602FA88.c,68,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FACC,src/race/asm/FUN_0602FACC.c,32,code,0,5,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FAEC,src/race/asm/FUN_0602FAEC.c,168,code,0,6,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FB94,src/race/asm/FUN_0602FB94.c,320,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FCD4,src/race/asm/FUN_0602FCD4.c,42,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FCFE,src/race/asm/FUN_0602FCFE.c,58,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602FD38,src/race/asm/FUN_0602FD38.c,438,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
