# Functions where NO probe ever fired during:
#   - boot through title (BIOS skipped)
#   - menu navigation through course-select-confirm
#   - rolling start (~1267 frames)
#   - poke-driven retail-lap playback (843 frames)
#
# Build: decomp transplant (decomp/build/transplant/race/race.bin)
# Sweep date: 2026-04-28
# Format: <address>  <symbol>  <probes_total>
#
0x0603FBFC  FUN_0603FBFC  1
0x0603FBFE  FUN_0603FBFE  2
0x0603FC10  FUN_0603FC10  6
0x0603FCB2  FUN_0603FCB2  4
0x0603FCDE  FUN_0603FCDE  2
0x0603FCF4  FUN_0603FCF4  2
0x0603FD0C  FUN_0603FD0C  2
0x0603FD20  FUN_0603FD20  2
0x0603FDD8  FUN_0603FDD8  2
0x0603FE94  FUN_0603FE94  2
0x0603FEE8  FUN_0603FEE8  4
0x06040020  FUN_06040020  2
0x0604002C  FUN_0604002C  2
0x06040074  FUN_06040074  2
0x06040080  FUN_06040080  2
0x060400B6  FUN_060400B6  2
0x060400C4  FUN_060400C4  2
0x06040A64  FUN_06040A64  2
0x06040A7E  FUN_06040A7E  8
0x06040CF0  FUN_06040CF0  5
0x06040DCC  FUN_06040DCC  2
0x06040DEC  FUN_06040DEC  3
0x06040E1C  FUN_06040E1C  2
0x06040E90  FUN_06040E90  1
0x06040EA0  FUN_06040EA0  3
0x06040FE4  FUN_06040FE4  2
0x06041004  FUN_06041004  2
0x0604101A  FUN_0604101A  2
0x060424B8  FUN_060424B8  5
0x06042998  FUN_06042998  2
0x060429CE  FUN_060429CE  1
0x060429D6  FUN_060429D6  2
0x06042AF8  FUN_06042AF8  2
0x06042B74  FUN_06042B74  1
0x06042B7E  FUN_06042B7E  2
0x06042C64  FUN_06042C64  1
0x06042C70  FUN_06042C70  2
0x06042CE4  FUN_06042CE4  2
0x06042DC4  FUN_06042DC4  2
0x06042DF8  FUN_06042DF8  1
0x06042E14  FUN_06042E14  2
0x06042F2C  FUN_06042F2C  3
0x06043110  FUN_06043110  1
0x060434D0  FUN_060434D0  2
0x06043630  FUN_06043630  2
0x060436D0  FUN_060436D0  2
0x06043748  FUN_06043748  2
0x06043810  FUN_06043810  2
0x06043854  FUN_06043854  2
0x060438C8  FUN_060438C8  2
0x06043934  FUN_06043934  2
0x0604398C  FUN_0604398C  2
0x06043B90  FUN_06043B90  2
0x06043C20  FUN_06043C20  2
0x06043CCC  FUN_06043CCC  1
0x06043CDC  FUN_06043CDC  2
0x06043F10  FUN_06043F10  2
0x06043F24  FUN_06043F24  2
0x06044060  FUN_06044060  2
0x060440E0  FUN_060440E0  2
0x060449A0  FUN_060449A0  2
0x06044A9A  FUN_06044A9A  1
0x06044ADA  FUN_06044ADA  2
0x06044B20  FUN_06044B20  2
0x06044D64  FUN_06044D64  2
0x06044DA8  FUN_06044DA8  2
0x06045198  FUN_06045198  2
0x060451AA  FUN_060451AA  2
0x060451BC  FUN_060451BC  1
0x060451BE  FUN_060451BE  2
0x060451FA  FUN_060451FA  2
0x0604521A  FUN_0604521A  2
0x060452F0  FUN_060452F0  2
0x06045318  FUN_06045318  2
0x06045340  FUN_06045340  2
0x060453B8  FUN_060453B8  2
0x060453C8  FUN_060453C8  1
0x0604556C  FUN_0604556C  2
0x0604559C  FUN_0604559C  2
0x060455D0  FUN_060455D0  2
0x06045614  FUN_06045614  2
0x06045620  FUN_06045620  2
0x06045678  FUN_06045678  2
0x060456EC  FUN_060456EC  2
0x060456F2  FUN_060456F2  2
0x060456FC  FUN_060456FC  2
0x06045714  FUN_06045714  2
0x06045738  FUN_06045738  2
0x06045760  FUN_06045760  2
0x06045784  FUN_06045784  2
0x060457AA  FUN_060457AA  1
0x06045858  FUN_06045858  1
0x0604585C  FUN_0604585C  3
0x060458DA  FUN_060458DA  1
0x06045C00  FUN_06045C00  1
0x06045EA8  FUN_06045EA8  2
0x06045F0C  FUN_06045F0C  2
0x06045F46  FUN_06045F46  7
0x0604669E  FUN_0604669E  1
0x060466A0  FUN_060466A0  2
0x0604670C  FUN_0604670C  2
0x0604674E  FUN_0604674E  4
0x060467B2  FUN_060467B2  1
0x060467B4  FUN_060467B4  2
0x0604680C  FUN_0604680C  5
0x060468AE  FUN_060468AE  1
0x060468B0  FUN_060468B0  2
0x06046908  FUN_06046908  3
0x06047460  FUN_06047460  2
0x060474D4  FUN_060474D4  2
0x0604791A  FUN_0604791A  2
0x060479A0  FUN_060479A0  2
0x06047A08  FUN_06047A08  2
0x06047DF0  FUN_06047DF0  2
0x06047EA8  FUN_06047EA8  4
0x06047EF0  FUN_06047EF0  11
0x06048050  FUN_06048050  2
0x0604805C  FUN_0604805C  2
0x060480C4  FUN_060480C4  2
0x0604D0F4  FUN_0604D0F4  1
0x0604DE2C  FUN_0604DE2C  2
0x0604E0F6  FUN_0604E0F6  11
