frame,+0x00,+0x04,+0x08,+0x0C,+0x10,+0x14,+0x18,+0x1C,+0x20,+0x24,+0x28,+0x2C,+0x30,+0x34,+0x38,+0x3C,+0x40,+0x44,+0x48,+0x4C,+0x50,+0x54,+0x58,+0x5C,+0x60,+0x64,+0x68,+0x6C,+0x70,+0x74,+0x78,+0x7C,+0x80,+0x84,+0x88,+0x8C,+0x90,+0x94,+0x98,+0x9C,+0xA0,+0xA4,+0xA8,+0xAC,+0xB0,+0xB4,+0xB8,+0xBC,+0xC0,+0xC4,+0xC8,+0xCC,+0xD0,+0xD4,+0xD8,+0xDC,+0xE0,+0xE4,+0xE8,+0xEC,+0xF0,+0xF4,+0xF8,+0xFC
42,0x0053937B,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x0000632C,0x2AEA0000,0x00000000,0x00000000,0x00009504,0x00000000,0x0002CE48,0x00000000,0x00000041,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000ED,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF3,0x00000000,0x00000000,0xFCC42DA0,0x0B3FE980,0x077FF100,0x00001129,0x000011CC,0x00000000,0x0011039A,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7A,0x0BFBD91C,0x026E47CF,0x00000000
43,0x0053937B,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x0000632C,0x2AEA0000,0x00000000,0x00000000,0x00009504,0x00000000,0x0002CE48,0x00000000,0x00000041,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000ED,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF3,0x00000000,0x00000000,0xFCC42DA0,0x0B3FE980,0x077FF100,0x00001129,0x000011CC,0x00000000,0x0011039A,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7A,0x0BFBD91C,0x026E47CF,0x00000000
44,0x005303FC,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00006DD6,0x35940000,0x00000000,0x00000000,0x00008F7F,0x00000000,0x0002CE86,0x00000000,0x0000003E,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000EE,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF4,0x00000000,0x00000000,0xFCC646B0,0x0B3FE980,0x077FF100,0x00001086,0x00001129,0x00000000,0x00103C3C,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7B,0x0BFE42D5,0x0269B5A1,0x00000000
45,0x005303FC,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00006DD6,0x35940000,0x00000000,0x00000000,0x00008F7F,0x00000000,0x0002CE86,0x00000000,0x0000003E,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000EE,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF4,0x00000000,0x00000000,0xFCC646B0,0x0B3FE980,0x077FF100,0x00001086,0x00001129,0x00000000,0x00103C3C,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7B,0x0BFE42D5,0x0269B5A1,0x00000000
46,0x00527A02,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00007880,0x403E0000,0x00000000,0x00000000,0x000089FA,0x00000000,0x0002CEC2,0x00000000,0x0000003C,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000EF,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF5,0x00000000,0x00000000,0xFCC86D1D,0x0B3FE980,0x077FF100,0x00000FE3,0x00001086,0x00000000,0x000FBC6F,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7B,0x0C00121F,0x026678B2,0x00000000
47,0x00527A02,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00007880,0x403E0000,0x00000000,0x00000000,0x000089FA,0x00000000,0x0002CEC2,0x00000000,0x0000003C,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000EF,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF5,0x00000000,0x00000000,0xFCC86D1D,0x0B3FE980,0x077FF100,0x00000FE3,0x00001086,0x00000000,0x000FBC6F,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7B,0x0C00121F,0x026678B2,0x00000000
48,0x0051F58C,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x0000832A,0x4AE80000,0x00000000,0x00000000,0x00008476,0x00000000,0x0002CEFC,0x00000000,0x0000003A,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000F0,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF6,0x00000000,0x00000000,0xFCCCE06E,0x0B3FE980,0x077FF100,0x00000F41,0x00000FE3,0x00000000,0x000F40B6,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7C,0x0C016D97,0x02640AFF,0x00000000
49,0x0051F58C,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x0000832A,0x4AE80000,0x00000000,0x00000000,0x00008476,0x00000000,0x0002CEFC,0x00000000,0x0000003A,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000F0,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF6,0x00000000,0x00000000,0xFCCCE06E,0x0B3FE980,0x077FF100,0x00000F41,0x00000FE3,0x00000000,0x000F40B6,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7C,0x0C016D97,0x02640AFF,0x00000000
50,0x0051769A,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00008DD4,0x55920000,0x00000000,0x00000000,0x00007EF2,0x00000000,0x0002CF33,0x00000000,0x00000037,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000F1,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF7,0x00000000,0x00000000,0xFCCF2C8A,0x0B3FE980,0x077FF100,0x00000E9E,0x00000F41,0x00000000,0x000E8EC1,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7C,0x0C027231,0x0262696C,0x00000000
51,0x0051769A,0x00000000,0x0091960B,0x00003FFF,0x00000000,0x00008DD4,0x55920000,0x00000000,0x00000000,0x00007EF2,0x00000000,0x0002CF33,0x00000000,0x00000037,0x00004000,0x00003FFF,0x00000001,0x00000000,0x00004000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x000000F1,0x00000001,0x00000001,0x00010000,0x00001999,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x000000FF,0x00000001,0x000000B8,0x000000FF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFF7,0x00000000,0x00000000,0xFCCF2C8A,0x0B3FE980,0x077FF100,0x00000E9E,0x00000F41,0x00000000,0x000E8EC1,0x00000000,0x00010000,0x00000000,0x00000000,0xFFFFFA7C,0x0C027231,0x0262696C,0x00000000
