retail_name,transplant_addr,real_sigs,phantom_sigs,verdict
FUN_0602FACC,0x0602FACC,1,0,REAL_FIRE
FUN_0602FAEC,0x0602FAEC,1,1,REAL_FIRE
FUN_0602FB94,0x0602FB94,1,0,REAL_FIRE
FUN_0602FCD4,0x0602FCD4,1,0,REAL_FIRE
FUN_0602FCFE,0x0602FCFE,0,1,PHANTOM_ONLY
FUN_0602FD38,0x0602FD38,0,0,SILENT
FUN_0602FEEE,0x0602FEEE,0,0,SILENT
FUN_0602FFC0,0x0602FFC0,2,0,REAL_FIRE
FUN_0603004C,0x0603004C,0,2,PHANTOM_ONLY
FUN_06030090,0x06030090,0,0,SILENT
FUN_0603043A,0x0603043A,0,0,SILENT
FUN_06030488,0x06030488,0,0,SILENT
FUN_06030490,0x06030490,0,0,SILENT
FUN_06030520,0x06030520,0,0,SILENT
FUN_0603072A,0x0603072A,0,0,SILENT
FUN_06030742,0x06030742,0,0,SILENT
FUN_060307A0,0x060307A0,0,0,SILENT
FUN_06030824,0x06030824,0,0,SILENT
FUN_0603083C,0x0603083C,0,0,SILENT
FUN_060308C0,0x060308C0,0,0,SILENT
FUN_06030A1C,0x06030A1C,0,0,SILENT
FUN_06030A48,0x06030A48,1,0,REAL_FIRE
FUN_06030A80,0x06030A80,0,1,PHANTOM_ONLY
FUN_06030AD8,0x06030AD8,1,0,REAL_FIRE
FUN_06030AFA,0x06030AFA,0,1,PHANTOM_ONLY
FUN_06030B7C,0x06030B7C,0,0,SILENT
FUN_06030BA4,0x06030BA4,0,0,SILENT
FUN_06030C24,0x06030C24,0,0,SILENT
FUN_06030C5A,0x06030C5A,0,0,SILENT
FUN_06030C7C,0x06030C7C,1,0,REAL_FIRE
FUN_06030C9E,0x06030C9E,1,1,REAL_FIRE
FUN_06030CE2,0x06030CE2,0,1,PHANTOM_ONLY
FUN_06030CE6,0x06030CE6,0,0,SILENT
FUN_06030D20,0x06030D20,1,0,REAL_FIRE
FUN_06030DA2,0x06030DA2,0,1,PHANTOM_ONLY
FUN_06030DAA,0x06030DAA,0,0,SILENT
FUN_06030DB0,0x06030DB0,0,0,SILENT
FUN_06030DEE,0x06030DEE,0,0,SILENT
FUN_06030E32,0x06030E32,0,0,SILENT
FUN_06030E44,0x06030E44,0,0,SILENT
FUN_06030EC8,0x06030EC8,0,0,SILENT
FUN_06031008,0x06031008,0,0,SILENT
FUN_060312E0,0x060312E0,0,0,SILENT
FUN_060313FC,0x060313FC,0,0,SILENT
FUN_0603164A,0x0603164A,0,0,SILENT
FUN_06031848,0x06031848,0,0,SILENT
FUN_06031A08,0x06031A08,0,0,SILENT
FUN_06031B0C,0x06031B0C,0,0,SILENT
FUN_06031B84,0x06031B84,0,0,SILENT
FUN_06031BCE,0x06031BCE,0,0,SILENT
FUN_06031BE2,0x06031BE2,0,0,SILENT
FUN_06031C84,0x06031C84,1,0,REAL_FIRE
FUN_06031CC2,0x06031CC2,1,1,REAL_FIRE
FUN_06031DFA,0x06031DFA,1,1,REAL_FIRE
FUN_06031F2C,0x06031F2C,1,1,REAL_FIRE
FUN_06032010,0x06032010,1,0,REAL_FIRE
FUN_0603209C,0x0603209C,0,1,PHANTOM_ONLY
FUN_060322A0,0x060322A0,0,0,SILENT
FUN_0603234C,0x0603234C,0,0,SILENT
FUN_060324E8,0x060324E8,0,0,SILENT
FUN_0603252C,0x0603252C,0,0,SILENT
FUN_06032674,0x06032674,0,0,SILENT
FUN_060328BC,0x060328BC,0,0,SILENT
FUN_06032918,0x06032918,0,0,SILENT
FUN_06032AB0,0x06032AB0,0,0,SILENT
FUN_06032BAC,0x06032BAC,0,0,SILENT
FUN_06032DC8,0x06032DC8,0,0,SILENT
FUN_06032E14,0x06032E14,0,0,SILENT
FUN_06032E44,0x06032E44,0,0,SILENT
FUN_060330B0,0x060330B0,0,0,SILENT
FUN_06033110,0x06033110,0,0,SILENT
FUN_060332A4,0x060332A4,0,0,SILENT
FUN_0603336C,0x0603336C,0,0,SILENT
FUN_0603344E,0x0603344E,0,0,SILENT
FUN_0603353C,0x0603353C,0,0,SILENT
FUN_060335B4,0x060335B4,0,0,SILENT
FUN_060335E4,0x060335E4,0,0,SILENT
FUN_06033656,0x06033656,0,0,SILENT
FUN_060336C8,0x060336C8,0,0,SILENT
FUN_060336FA,0x060336FA,0,0,SILENT
FUN_06033718,0x06033718,0,0,SILENT
FUN_06033830,0x06033830,1,0,REAL_FIRE
FUN_06033970,0x06033970,1,1,REAL_FIRE
FUN_06033A78,0x06033A78,1,0,REAL_FIRE
FUN_06033AAC,0x06033AAC,1,1,REAL_FIRE
FUN_06033AFA,0x06033AFA,1,1,REAL_FIRE
FUN_06033B2E,0x06033B2E,0,1,PHANTOM_ONLY
FUN_06033B62,0x06033B62,1,0,REAL_FIRE
FUN_06033BD6,0x06033BD6,0,1,PHANTOM_ONLY
FUN_06033CBE,0x06033CBE,0,0,SILENT
FUN_06033DC8,0x06033DC8,0,0,SILENT
FUN_06034480,0x06034480,0,0,SILENT
FUN_060345B6,0x060345B6,0,0,SILENT
FUN_06034600,0x06034600,0,0,SILENT
FUN_06034648,0x06034648,0,0,SILENT
FUN_0603468E,0x0603468E,0,0,SILENT
FUN_060346E8,0x060346E8,0,0,SILENT
FUN_06034738,0x06034738,0,0,SILENT
FUN_06034834,0x06034834,0,0,SILENT
FUN_060348AE,0x060348AE,0,0,SILENT
FUN_06034904,0x06034904,0,0,SILENT
FUN_060349C8,0x060349C8,0,0,SILENT
FUN_06034A56,0x06034A56,0,0,SILENT
FUN_06034AA0,0x06034AA0,0,0,SILENT
FUN_06034BA2,0x06034BA2,0,0,SILENT
FUN_06034C68,0x06034C68,0,0,SILENT
