frame,+0x00,+0x04,+0x08,+0x0C
138,0xFF6D2400,0x0014ADDA,0xFF8A2885,0xFF5E5580
139,0xFF6D2400,0x0014ADDA,0xFF8A2885,0xFF5E5580
140,0xFF6D0556,0x0014AD32,0xFF8A16A6,0xFF5E5580
141,0xFF6D0556,0x0014AD32,0xFF8A16A6,0xFF5E5580
142,0xFF6CE426,0x0014AC7C,0xFF8A034F,0xFF5E5580
143,0xFF6CE426,0x0014AC7C,0xFF8A034F,0xFF5E5580
144,0xFF6CC077,0x0014ABB9,0xFF89EE83,0xFF5E5580
145,0xFF6CC077,0x0014ABB9,0xFF89EE83,0xFF5E5580
146,0xFF6C9A4E,0x0014AAE8,0xFF89D846,0xFF5E5580
147,0xFF6C9A4E,0x0014AAE8,0xFF89D846,0xFF5E5580
148,0xFF6C71AF,0x0014AA09,0xFF89C09A,0xFF5E5580
149,0xFF6C71AF,0x0014AA09,0xFF89C09A,0xFF5E5580
150,0xFF6C46A1,0x0014A91D,0xFF89A783,0xFF5E5580
151,0xFF6C46A1,0x0014A91D,0xFF89A783,0xFF5E5580
152,0xFF6C1928,0x0014A824,0xFF898D03,0xFF5E5580
153,0xFF6C1928,0x0014A824,0xFF898D03,0xFF5E5580
154,0xFF6BE949,0x0014A71D,0xFF89711D,0xFF5E5580
155,0xFF6BE949,0x0014A71D,0xFF89711D,0xFF5E5580
156,0xFF6BB70B,0x0014A60A,0xFF8953D5,0xFF5E5580
157,0xFF6BB70B,0x0014A60A,0xFF8953D5,0xFF5E5580
158,0xFF6B8272,0x0014A634,0xFF89352E,0xFF5E5580
159,0xFF6B8272,0x0014A634,0xFF89352E,0xFF5E5580
160,0xFF6B4B83,0x0014A506,0xFF89152A,0xFF5E5580
161,0xFF6B4B83,0x0014A506,0xFF89152A,0xFF5E5580
162,0xFF6B1244,0x0014A3CC,0xFF88F3CD,0xFF5E5580
163,0xFF6B1244,0x0014A3CC,0xFF88F3CD,0xFF5E5580
164,0xFF6AD6BB,0x0014A285,0xFF88D11B,0xFF5E5580
165,0xFF6AD6BB,0x0014A285,0xFF88D11B,0xFF5E5580
166,0xFF6A98ED,0x0014A131,0xFF88AD16,0xFF5E5580
167,0xFF6A98ED,0x0014A131,0xFF88AD16,0xFF5E5580
168,0xFF6A58DF,0x00149FD2,0xFF8887C1,0xFF5E5580
169,0xFF6A58DF,0x00149FD2,0xFF8887C1,0xFF5E5580
170,0xFF6A1696,0x0014A058,0xFF886120,0xFF725580
171,0xFF6A1696,0x0014A058,0xFF886120,0xFF725580
172,0xFF69D218,0x00149F74,0xFF883936,0xFF5E5580
173,0xFF69D218,0x00149F74,0xFF883936,0xFF5E5580
174,0xFF698B6A,0x00149DEF,0xFF881005,0xFF5E5580
175,0xFF698B6A,0x00149DEF,0xFF881005,0xFF5E5580
176,0xFF694292,0x00149C5E,0xFF87E591,0xFF5E5580
177,0xFF694292,0x00149C5E,0xFF87E591,0xFF5E5580
178,0xFF68F794,0x00149AC1,0xFF87B9DD,0xFF5E5580
179,0xFF68F794,0x00149AC1,0xFF87B9DD,0xFF5E5580
180,0xFF68AA77,0x00149A56,0xFF878CED,0xFF5E5580
181,0xFF68AA77,0x00149A56,0xFF878CED,0xFF5E5580
182,0xFF685B3F,0x001498A1,0xFF875EC2,0xFF5E5580
183,0xFF685B3F,0x001498A1,0xFF875EC2,0xFF5E5580
